source_id,topic,source_title,source_url,source_type,credibility_tier,covers_fields,notes
source_eur_0025,encyclopedia,Encyclopaedia Britannica: Russian Empire,https://www.britannica.com/place/Russian-Empire,encyclopedia,B,russian_empire|romanov,Reference for Russian Empire.
source_eur_0026,encyclopedia,Encyclopaedia Britannica: Crusades,https://www.britannica.com/event/Crusades,encyclopedia,B,crusades|holy_land,Reference for Crusades.
source_eur_0027,encyclopedia,Encyclopaedia Britannica: Reformation,https://www.britannica.com/event/Reformation,encyclopedia,B,reformation|luther|wars_of_religion,Reference for Protestant Reformation.
source_eur_0028,encyclopedia,Encyclopaedia Britannica: Thirty Years' War,https://www.britannica.com/event/Thirty-Years-War,encyclopedia,B,thirty_years_war|westphalia,Reference for Thirty Years' War.
source_eur_0029,encyclopedia,Encyclopaedia Britannica: French Revolution,https://www.britannica.com/event/French-Revolution,encyclopedia,B,french_revolution|consulate,Reference for French Revolution.
source_eur_0030,encyclopedia,Encyclopaedia Britannica: Italian unification,https://www.britannica.com/event/Italian-unification,encyclopedia,B,risorgimento|piedmont|cavour,Reference for Italian unification.
source_eur_0031,encyclopedia,Encyclopaedia Britannica: Plantagenet,https://www.britannica.com/topic/Plantagenet-dynasty,encyclopedia,B,england|plantagenet,Reference for Plantagenet dynasty.
source_eur_0032,encyclopedia,Encyclopaedia Britannica: Capetian dynasty,https://www.britannica.com/topic/Capetian-dynasty,encyclopedia,B,france|capet,Reference for Capetian dynasty.
source_eur_0033,encyclopedia,Encyclopaedia Britannica: Habsburg,https://www.britannica.com/topic/House-of-Habsburg,encyclopedia,B,habsburg|austria|spain,Reference for Habsburg dynasty.
source_eur_0034,encyclopedia,Encyclopaedia Britannica: Roman Empire,https://www.britannica.com/place/Roman-Empire,encyclopedia,A,roman_empire|julio_claudian|severan|tetrarchy,Reference for Roman Empire periodization.
source_eur_0035,encyclopedia,Encyclopaedia Britannica: Achaemenian dynasty,https://www.britannica.com/topic/Achaemenian-dynasty,encyclopedia,B,persia|persian_wars,Persian context for Greek wars.
