polity_id,polity_name,admin_ids,valid_from_year,valid_to_year,match_source,confidence_score,note,source_titles,source_raw
polity_eur_0061,Holy Roman Empire (Salian / Hohenstaufen),DEU|AUT|CHE|CZE|LIE|NLD|BEL|LUX|IT-LOMBARDI|IT-PIEMONTE|IT-EMILIARO|IT-VENETO|IT-FRIULIVE|IT-TRENTINO|IT-LIGURIA|IT-TOSCANA|IT-MARCHE|IT-UMBRIA|IT-LAZIO|IT-CAMPANIA|IT-PUGLIA|IT-CALABRIA|IT-SICILIA|FR-GES|FR-BFC,0,0,manual_override,82,神圣罗马帝国萨利-霍亨斯陶芬时期：德意志、奥地利、瑞士、波西米亚、低地、勃艮第、洛林、北/中意大利。霍亨斯陶芬时期加西西里王国。,Encyclopaedia Britannica: Holy Roman Empire,manually curated from Hohenstaufen-era peak under Frederick II
polity_eur_0062,Holy Roman Empire (Luxembourg / Habsburg era),DEU|AUT|CHE|CZE|LIE|NLD|BEL|LUX|IT-LOMBARDI|IT-TRENTINO|IT-VENETO|IT-FRIULIVE,0,0,manual_override,82,神圣罗马帝国晚期：德意志、奥地利、瑞士（事实独立但名义在内）、波西米亚、低地（直到 1581 北部脱离）、北意大利。1648 后渐成松散德意志联邦。,Encyclopaedia Britannica: Holy Roman Empire,manually curated from Luxembourg-Habsburg era extent
polity_eur_0091,Ottoman Empire (Classical/Imperial),TUR|GRC|BGR|MKD|ALB|SRB|MNE|BIH|HRV|HUN|ROU|MDA|UKR|CYP|SYR|LBN|ISR|JOR|EGY|LBY|TUN|DZA|IRQ|GR-AI|GR-CR,0,0,manual_override,88,奥斯曼帝国古典鼎盛（苏莱曼一世 1566）：安纳托利亚 + 巴尔干 + 黎凡特 + 北非到阿尔及利亚 + 美索不达米亚 + 克里米亚（乌克兰南部）+ 希腊群岛与克里特。,Encyclopaedia Britannica: Ottoman Empire,manually curated from Suleiman-era peak
polity_eur_0088,Spanish Habsburg Monarchy,ESP|PRT|BEL|NLD|LUX|IT-LOMBARDI|IT-SICILIA|IT-SARDEGNA|IT-CAMPANIA|IT-ABRUZZO|IT-PUGLIA|IT-CALABRIA|IT-BASILICA|IT-MOLISE,0,0,manual_override,90,西班牙哈布斯堡王朝鼎盛（菲利普二世 1580）：伊比利亚（含葡萄牙 1580-1640）+ 南低地 + 米兰 + 西西里 + 撒丁岛 + 那不勒斯王国。北低地荷兰共和国 1581 起独立。,Encyclopaedia Britannica: House of Habsburg,manually curated from Philip II peak
polity_eur_0090,Austrian Habsburg Monarchy,AUT|CZE|HUN|SVK|SVN|HRV|BEL|IT-LOMBARDI|IT-TRENTINO|IT-VENETO|IT-FRIULIVE|ROU|UKR|POL|BIH,0,0,manual_override,90,奥地利哈布斯堡君主国：奥地利、波西米亚、匈牙利、克罗地亚 + 南低地（1714-1797）+ 米兰 + 1797 后含威尼托/特伦蒂诺/弗留利 + 加利西亚 + 1878 后波黑。,Encyclopaedia Britannica: House of Habsburg,manually curated
polity_eur_0097,Polish-Lithuanian Commonwealth,POL|LTU|BLR|UKR|LVA|EST,0,0,manual_override,90,波兰-立陶宛联邦：波兰、立陶宛、白俄罗斯、乌克兰（除克里米亚）、利沃尼亚（拉脱维亚、爱沙尼亚），1569-1795。,Encyclopaedia Britannica: Poland — History,manually curated
polity_eur_0099,Russian Empire (Petrine-Catherinian),RUS|UKR|BLR|FIN|EST|LVA|LTU|POL|MDA,0,0,manual_override,90,俄罗斯帝国早期：彼得-叶卡捷琳娜时期。波罗的海三省、芬兰、波兰大部、贝萨拉比亚。中亚高加索扩张主要在 19 世纪。,Encyclopaedia Britannica: Russian Empire,manually curated
polity_eur_0122,Russian Empire (Alexandrine to Nicholas II),RUS|UKR|BLR|FIN|EST|LVA|LTU|POL|MDA,0,0,manual_override,92,俄罗斯帝国晚期欧洲部分。中亚加盟（KAZ/KGZ/TJK/TKM/UZB）与外高加索历史包含但 vEuropean 几何省略以控制体积。,Encyclopaedia Britannica: Russian Empire,manually curated; central Asia & Caucasus omitted for size
polity_eur_0109,First French Empire,FRA|BEL|NLD|LUX|CHE|IT-PIEMONTE|IT-LOMBARDI|IT-EMILIARO|IT-LIGURIA|IT-VALLEDAO|IT-TOSCANA|IT-LAZIO|IT-UMBRIA|IT-MARCHE|DE-NW|DE-RP|DE-BW|DE-BY|DE-SH|DE-NI|HRV|SVN|ES-CATALUNA|ES-ILLESBAL,0,0,manual_override,88,法兰西第一帝国 1812 鼎盛：法国本土 + 低地 + 瑞士 + 北中意大利大部 + 莱茵联邦核心 + 伊利里亚行省（克罗地亚、斯洛文尼亚）+ 加泰罗尼亚 + 巴利阿里。,Encyclopaedia Britannica: Napoleonic Wars,manually curated from 1812 peak
polity_eur_0117,Austria-Hungary,AUT|HUN|CZE|SVK|SVN|HRV|ROU|UKR|POL|BIH|IT-FRIULIVE|IT-TRENTINO,0,0,manual_override,92,奥匈帝国 1867-1918：奥地利、匈牙利、波西米亚、斯洛伐克、斯洛文尼亚、克罗地亚、特兰西瓦尼亚 + 加利西亚 + 1908 起波黑 + 特里雅斯特/特伦蒂诺。,Encyclopaedia Britannica: House of Habsburg,manually curated
polity_eur_0138,Nazi Germany (Third Reich),DEU|AUT|POL|CZE|FRA|BEL|NLD|LUX|DNK|NOR|SVN|HRV|GRC|HUN|UKR|BLR,0,0,manual_override,92,纳粹德国二战占领疆域：德国本土 + 1938 奥地利 + 1939 苏台德、波兰 + 1940 西欧 + 1941 巴尔干（南斯拉夫、希腊）+ 1941-1944 苏联西部（乌克兰、白俄罗斯）。匈牙利 1944 占领，斯洛文尼亚 1941 吞并。,Encyclopaedia Britannica: World War II,manually curated from 1942 peak occupation
polity_eur_0152,Russian SFSR / USSR (early),RUS|UKR|BLR|EST|LVA|LTU|POL|MDA,0,0,manual_override,90,苏俄/苏联欧洲部分（1940 后含波罗的海三国与贝萨拉比亚）。中亚加盟共和国与外高加索未纳入以控制体积。,Encyclopaedia Britannica: Russia — History,manually curated; central Asia & Caucasus omitted for size
polity_eur_0067,Republic of Florence,IT-TOSCANA,0,0,manual_override,85,佛罗伦萨共和国地理范围基本对应现代托斯卡纳大区。,Encyclopaedia Britannica: Italy — History,manually curated
polity_eur_0069,Duchy of Milan,IT-LOMBARDI,0,0,manual_override,85,米兰公国地理范围对应现代伦巴第大区。,Encyclopaedia Britannica: Italy — History,manually curated
polity_eur_0066,Republic of Venice,IT-VENETO|IT-FRIULIVE|HRV|GRC|MNE|ALB|CYP|GR-AI|GR-CR,0,0,manual_override,82,威尼斯共和国本土对应威尼托与弗留利-威尼斯朱利亚大区；海上帝国控制达尔马提亚海岸、阿尔巴尼亚北部、爱奥尼亚群岛、克里特（1204-1669）、塞浦路斯（1489-1571）、爱琴海群岛。,Encyclopaedia Britannica: Italy — History,manually curated
polity_eur_0068,Republic of Genoa,IT-LIGURIA,0,0,manual_override,82,热那亚共和国本土对应现代利古里亚大区。海外殖民点（克里米亚 Caffa 等）未纳入。,Encyclopaedia Britannica: Italy — History,manually curated
polity_eur_0070,Kingdom of Naples / Sicily,IT-CAMPANIA|IT-PUGLIA|IT-BASILICA|IT-CALABRIA|IT-MOLISE|IT-ABRUZZO|IT-SICILIA,0,0,manual_override,85,那不勒斯-西西里王国对应意大利南部六大区 + 西西里岛。1282 西西里晚祷后西西里与那不勒斯一度分治，但本 polity 涵盖合并的 Regnum Siciliae 传统疆界。,Encyclopaedia Britannica: Italy — History,manually curated
polity_eur_0071,Papal States (high medieval to 1870),IT-LAZIO|IT-UMBRIA|IT-MARCHE|IT-EMILIARO|VAT,0,0,manual_override,85,教皇国传统疆域对应拉齐奥（罗马周边）+ 翁布里亚 + 马尔凯 + 罗马涅。阿维尼翁飞地未纳入。,Encyclopaedia Britannica: Italy — History,manually curated
polity_eur_0073,Kingdom (Crown) of Aragon,ES-ARAGON|ES-CATALUNA|ES-COMUNITA|ES-ILLESBAL|IT-SICILIA|IT-SARDEGNA|IT-CAMPANIA|IT-CALABRIA|IT-PUGLIA|IT-BASILICA|IT-MOLISE,0,0,manual_override,82,阿拉贡王冠本土：阿拉贡、加泰罗尼亚、巴伦西亚、巴利阿里。地中海扩张：西西里（1282 起）、撒丁（1324 起）、那不勒斯王国（1442 起）。,Encyclopaedia Britannica: Spain — History,manually curated
polity_eur_0105,Grand Duchy of Tuscany,IT-TOSCANA,0,0,manual_override,88,托斯卡纳大公国地理范围基本对应现代托斯卡纳大区。,Encyclopaedia Britannica: Italy — History,manually curated
polity_eur_0106,Kingdom of the Two Sicilies,IT-CAMPANIA|IT-PUGLIA|IT-BASILICA|IT-CALABRIA|IT-MOLISE|IT-ABRUZZO|IT-SICILIA,0,0,manual_override,90,两西西里王国（1816-1861）继承那不勒斯+西西里王国疆界。,Encyclopaedia Britannica: Italian unification,manually curated
polity_eur_0154,Italian Social Republic (Salò),IT-LOMBARDI|IT-PIEMONTE|IT-LIGURIA|IT-EMILIARO|IT-VENETO|IT-FRIULIVE|IT-TRENTINO|IT-VALLEDAO,0,0,manual_override,90,萨罗共和国（1943-1945）为德占北意大利傀儡政权，覆盖意大利北部 8 个大区。,Encyclopaedia Britannica: World War II,manually curated
