location_id,name,aliases,category,icon_key,importance_level,display_priority,start_year,end_year,active_years_raw,related_event_ids,related_anecdote_ids,related_polity_ids,related_people,historical_name,modern_name,modern_admin_units_raw,longitude,latitude,location_precision,location_confidence_score,strategic_summary,historical_significance,source_titles,source_urls,source_type,confidence_note,review_status,review_note
location_eur_0012,Cordoba,,capital,capital,2,100,756,1031,756-1031,,,polity_eur_0048,,Cordoba,Córdoba,ESP|ES-AN,-4.7794,37.8882,city,88,后倭马亚安达卢斯首都。,十世纪欧洲最大、最繁荣的城市之一。,Encyclopaedia Britannica: Spain — History,https://www.britannica.com/place/Spain/History,synthesized_secondary,,verified,
location_eur_0013,Kiev,,capital,capital,2,100,882,1240,882-1240,,,polity_eur_0055,,Kiev,Kyiv,UKR,30.5234,50.4501,city,88,基辅罗斯首都，东欧斯拉夫文明中心。,东斯拉夫文明与东正教传播枢纽。,Encyclopaedia Britannica: Russia — History,https://www.britannica.com/place/Russia/History,synthesized_secondary,,verified,
location_eur_0014,Winchester,,capital,capital,2,100,519,1066,519-1066,,,polity_eur_0051,,Winchester,Winchester,GBR|GB-ENG,-1.3081,51.0632,city,82,韦塞克斯王国首都，盎格鲁-撒克逊英格兰行政中心。,阿尔弗雷德大王所在。,Encyclopaedia Britannica: United Kingdom — History,https://www.britannica.com/place/United-Kingdom/History,synthesized_secondary,,verified,
location_eur_0015,Avignon,,religious_seat,religious_seat,2,100,1309,1377,1309-1377,,,polity_eur_0071,,Avignon,Avignon,FRA|FR-PAC,4.8059,43.9493,city,88,阿维尼翁教廷期间教皇驻地。,罗马天主教权威外移的标志地。,Encyclopaedia Britannica: Italy — History,https://www.britannica.com/place/Italy/History,synthesized_secondary,,verified,
location_eur_0016,Krakow,,capital,capital,2,100,1038,1596,1038-1596,,,polity_eur_0075,,Krakow,Kraków,POL|PL-MA,19.945,50.0647,city,88,波兰皮亚斯特与雅盖隆王朝首都。,瓦维尔城堡所在。,Encyclopaedia Britannica: Poland — History,https://www.britannica.com/place/Poland/History,synthesized_secondary,,verified,
location_eur_0017,Prague,,capital,capital,2,100,1198,1918,1198-1918,,,polity_eur_0078|polity_eur_0062,,Prague,Prague,CZE,14.4378,50.0755,city,88,波西米亚王国首都，HRE 重要选侯国都。,查理四世建为帝国第二都。,Encyclopaedia Britannica: Holy Roman Empire,https://www.britannica.com/place/Holy-Roman-Empire,synthesized_secondary,,verified,
location_eur_0018,Madrid,,capital,capital,2,100,1561,2026,1561-2026,,,polity_eur_0088|polity_eur_0089,,Madrid,Madrid,ESP|ES-MD,-3.7038,40.4168,city,92,西班牙首都。,哈布斯堡-波旁西班牙政治中心。,Encyclopaedia Britannica: Spain — History,https://www.britannica.com/place/Spain/History,synthesized_secondary,,verified,
location_eur_0019,Vienna,,capital,capital,2,100,1438,2026,1438-2026,,,polity_eur_0090|polity_eur_0062,,Vienna,Vienna,AUT|AT-9,16.3738,48.2082,city,92,哈布斯堡君主国与神圣罗马帝国晚期首都。,中欧政治中心，多瑙河沿岸枢纽。,Encyclopaedia Britannica: Habsburg,https://www.britannica.com/topic/House-of-Habsburg,synthesized_secondary,,verified,
location_eur_0020,Berlin,,capital,capital,2,100,1701,2026,1701-2026,,,polity_eur_0103|polity_eur_0104,,Berlin,Berlin,DEU|DE-BE,13.405,52.52,city,92,普鲁士与德意志统一帝国首都。,德意志近现代政治中心。,Encyclopaedia Britannica: Holy Roman Empire,https://www.britannica.com/place/Holy-Roman-Empire,synthesized_secondary,,verified,
location_eur_0021,Saint Petersburg,,capital,capital,2,100,1712,1918,1712-1918,,,polity_eur_0099,,Saint Petersburg,Saint Petersburg,RUS|RU-SPE,30.3351,59.9343,city,92,彼得大帝建立的俄罗斯帝国首都。,俄罗斯朝西转向的标志。,Encyclopaedia Britannica: Russia — History,https://www.britannica.com/place/Russia/History,synthesized_secondary,,verified,
location_eur_0022,Warsaw,,capital,capital,2,100,1596,2026,1596-2026,,,polity_eur_0097,,Warsaw,Warsaw,POL|PL-MZ,21.0122,52.2297,city,88,波兰-立陶宛联邦首都。,近代波兰政治中心。,Encyclopaedia Britannica: Poland — History,https://www.britannica.com/place/Poland/History,synthesized_secondary,,verified,
