record_id,batch,release_item,base_name,status,boundary_violation_rows,matched_polity_names,contexts,row_count,year_min,year_max,start_values,end_values,source_note,source_titles,source_raw_sample
93,v1.0.0-batch9_10,西燕,西燕,PASS_DATA_PRESENT,0,西燕,魏晋南北朝/五胡十六国外政权,12,384,394,384,394,,《晋书》,394年被后燕慕容垂所灭
94,v1.0.0-batch9_10,西秦,西秦,PASS_DATA_PRESENT,0,西秦,魏晋南北朝/五胡十六国,49,385,431,385,431,,《晋书·乞伏国仁等载记》,431年被胡夏(赫连定)所灭
95,v1.0.0-batch9_10,后仇池,后仇池,PASS_DATA_PRESENT,0,后仇池,魏晋南北朝/五胡十六国外政权,59,385,443,385,443,,《魏书》/《宋书》,443年被北魏所灭
96,v1.0.0-batch8,中山国,中山国,PASS_DATA_PRESENT,0,中山國,周/周代诸侯国,108,-414,-296,,-296,,《史记·赵世家》,前296年被赵国所灭
97,v1.0.0-batch8,赵国,赵国,PASS_DATA_PRESENT,0,趙國,周/周代诸侯国,182,-403,-222,-403,-222,,《史记·赵世家》,前222年王贲虏代王嘉，赵国彻底灭亡
98,v1.0.0-batch8,韩国,韩国,PASS_DATA_PRESENT,0,韓國,周/周代诸侯国,700,-403,-230,-403,-230,,《史记·韩世家》,前230年秦将内史腾灭韩
99,v1.0.0-batch8,魏国,魏国,PASS_DATA_PRESENT,0,魏國,周/周代诸侯国,360,-403,-225,-403,-225,,《史记·魏世家》,前225年秦将王贲水淹大梁灭魏
100,v1.0.0-batch8,苴国,苴国,PASS_DATA_PRESENT,0,苴國,周/周代诸侯国,53,-368,-316,-368,-316,,《华阳国志》,前316年随蜀国同被秦国所灭
101,v1.0.0-batch8,东周国,东周国,PASS_DATA_PRESENT,0,東周國,周/周代诸侯国,238,-367,-249,-367,-249,,《史记·周本纪》,前249年被秦国（秦庄襄王）所灭
102,v1.0.0-batch8,秦朝,秦朝,PASS_DATA_PRESENT,0,秦朝,秦汉/秦朝,16,-221,-207,-221,-206,,《史记·秦始皇本纪》,前206年子婴降刘邦，秦亡
103,v1.0.0-batch8,西汉,西汉,FAIL_BOUNDARY_VIOLATION,1,西漢,秦汉/西漢,444,-202,9,-202,8,,《汉书·王莽传》,公元8年王莽篡汉，建立新朝
104,v1.0.0-batch8,扶余,扶余,PASS_DATA_PRESENT,0,扶餘,魏晋南北朝/五胡十六国外政权,80,-86,-48,-86,494,,《三国史记》/《魏书》,494年被高句丽所灭
105,v1.0.0-batch8,新朝,新朝,PASS_DATA_PRESENT,0,新朝,秦汉/新朝,15,9,23,8,23,,《汉书·王莽传》,8年建立，23年绿林军攻入长安，王莽死
106,v1.0.0-batch8,东汉,东汉,PASS_DATA_PRESENT,0,東漢,秦汉/東漢,410,25,220,25,220,,《后汉书》/《三国志》,220年汉献帝禅位于曹丕
107,v1.0.0-batch8,仇池,仇池,PASS_DATA_PRESENT,0,仇池,魏晋南北朝/五胡十六国外政权,28,184,210,184,443,,《魏书》/《宋书》,443年后仇池为北魏所灭
108,v1.0.0-batch8,曹魏,曹魏,FAIL_BOUNDARY_VIOLATION,1,曹魏,三国/三国,51,220,266,220,265,,《三国志·魏书》,220年曹丕称帝，265年司马炎代魏建立西晋
109,v1.0.0-batch8,蜀汉,蜀汉,PASS_DATA_PRESENT,0,蜀漢,三国/三国,44,221,263,221,263,,《三国志·蜀书》,221年刘备称帝，263年邓艾灭蜀，刘禅投降
110,v1.0.0-batch8,东吴,东吴,PASS_DATA_PRESENT,0,東吳,三国/三国,124,222,280,222,280,,《三国志·吴书》,222年孙权称王建国(229年称帝)，280年西晋灭吴
111,v1.0.0-batch6_7,蒋国,蒋国,PASS_DATA_PRESENT,0,蔣國,周/周代诸侯国,848,-1040,-617,-1040,-617,,《左传·文公十年》,前617年被楚穆王所灭
112,v1.0.0-batch6_7,卫国,卫国,PASS_DATA_PRESENT,0,衛國 | 衞國,周/周代诸侯国,1680,-1040,-209,-1040,-209,,《史记·卫康叔世家》,前209年秦二世废卫君角为庶人，卫国彻底灭亡
113,v1.0.0-batch6_7,衞国,衞国,PASS_DATA_PRESENT,0,衛國 | 衞國,周/周代诸侯国,1680,-1040,-209,-1040,-209,,《史记·卫康叔世家》,前209年秦二世废卫君角为庶人，卫国彻底灭亡
114,v1.0.0-batch6_7,邢国,邢国,PASS_DATA_PRESENT,0,邢國,周/周代诸侯国,406,-1040,-635,-1040,-635,,《左传·僖公二十五年》,前635年被卫国所灭
115,v1.0.0-batch6_7,晋国,晋国,FAIL_BOUNDARY_VIOLATION,54,晉國,周/周代诸侯国,3012,-1033,-349,-1033,-376,,《史记·晋世家》,前376年韩、赵、魏废晋静公，将晋公室剩余土地瓜分
116,v1.0.0-batch6_7,秦国,秦国,PASS_DATA_PRESENT,0,秦國,周/周代诸侯国,2780,-900,-206,-900,-206,,《史记·秦始皇本纪》,前206年刘邦破咸阳，秦王子婴投降，秦朝(国)灭亡
117,v1.0.0-batch6_7,申国,申国,PASS_DATA_PRESENT,0,申國,周/周代诸侯国,154,-841,-688,-841,-688,,《左传·庄公六年》,约前688年被楚文王所灭
118,v1.0.0-batch6_7,詹国,詹国,PASS_DATA_PRESENT,0,詹國,周/周代诸侯国,1,-827,-827,-827,-771,,文献考证,前771年随西周覆灭而亡
119,v1.0.0-batch6_7,梁国,梁国,PASS_DATA_PRESENT,0,梁國,周/周代诸侯国,181,-821,-641,-821,-640,,《左传·僖公二十年》,前640年被秦穆公所灭
120,v1.0.0-batch6_7,郑国,郑国,PASS_DATA_PRESENT,0,鄭國,周/周代诸侯国,864,-806,-375,-806,-375,,《史记·郑世家》,前375年被韩国(韩哀侯)所灭
121,v1.0.0-batch6_7,尹国,尹国,PASS_DATA_PRESENT,0,尹國,周/周代诸侯国,258,-770,-513,-770,-513,,《左传·昭公二十九年》,前513年亡于周敬王、晋国联军(王子朝之乱)
122,v1.0.0-batch6_7,东周,东周,PASS_DATA_PRESENT,0,東周,周/周代诸侯国 | 周/周朝,3092,-770,-256,-770,-256,,《史记·周本纪》,前256年秦国攻入雒邑，东周(周赧王)灭亡
123,v1.0.0-batch6_7,刘国,刘国,PASS_DATA_PRESENT,0,劉國,周/周代诸侯国,518,-712,-455,-712,-441,,《左传》及战国史考,约前441年亡于周贞定王
124,v1.0.0-batch6_7,吕国,吕国,FAIL_BOUNDARY_VIOLATION,8,呂國,周/周代诸侯国,18,-688,-680,-688,-688,,《左传》及楚史考证,约前688年与申国同时被楚文王所灭
