macro_period,dynasty_name,polity_name,polity_start_year,polity_end_year,actual_min_year,actual_max_year,row_count,actual_year_count,expected_year_count,extra_before_count,extra_after_count,extra_count,missing_year_count,extra_years,missing_years,source_titles,source_raw
魏晋南北朝,五胡十六国外政权,邓至,502,554,502,509,8,8,53,0,0,0,45,,510..554,《魏书》/《周书》,554年被西魏所灭
魏晋南北朝,南北朝,梁,502,557,502,549,51,48,56,0,0,0,8,,550..557,《梁书》/《陈书》,557年梁敬帝禅位于陈霸先，南梁灭亡
魏晋南北朝,五胡十六国外政权,高车,487,541,516,522,8,7,55,0,0,0,48,,487..515;523..541,《魏书·高车传》,约487年阿伏至罗建立高车国，541年左右被柔然所灭
魏晋南北朝,隋朝,隋朝,581,618,581,619,41,39,38,0,1,1,0,619,,《隋书·炀帝纪》,618年江都之变隋炀帝遇弑，隋朝事实灭亡（次年王世充废皇泰主）
五代十国,五代十国,卢龙军,897,913,897,907,12,11,17,0,0,0,6,,908..913,《旧五代史·刘守光传》,刘仁恭、刘守光割据(后建桀燕)，913年被晋王李存勖所灭
五代十国,十国,前蜀,907,925,903,925,23,23,19,4,0,4,0,903..906,,《新五代史·前蜀世家》,907年王建称帝，925年被后唐(庄宗)所灭
五代十国,五代十国,靜海軍,905,938,905,907,4,3,34,0,0,0,31,,908..938,《大越史记全书》,905年曲氏建立半独立政权，至938年吴权击败南汉建立吴朝为止
五代十国,五代,后唐,923,936,923,937,15,15,14,0,1,1,0,937,,《旧五代史·唐书》,936年石敬瑭借契丹兵引兵入洛阳，后唐废帝自焚，后唐亡
五代十国,五代十国,後唐,923,936,923,937,35,15,14,0,1,1,0,937,,《旧五代史·唐书》,936年石敬瑭灭后唐
五代十国,五代十国,南唐,937,975,937,976,45,40,39,0,1,1,0,976,,《宋史·世家》,975年宋军攻破金陵，李煜出降，南唐亡
五代十国,五代十国,福州/威武军,945,978,945,947,3,3,34,0,0,0,31,,948..978,《宋史》/《新五代史》,945年闽国亡后李氏割据福州，后归入吴越，最终随吴越纳土归宋(978年)
五代十国,五代十国,清源军/平海军,949,978,949,962,15,14,30,0,0,0,16,,963..978,《宋史·世家》,949年留从效割据泉漳建清源军，978年陈洪进纳土归宋
五代十国,五代十国,武平军,951,963,951,953,4,3,13,0,0,0,10,,954..963,《宋史》/《新五代史》,951年刘言等割据湖南(原马楚地)，963年周保权降宋，武平军节度使割据终结
