row_id,row_granularity,year,year_label,macro_period,dynasty_name,polity_name,polity_aliases,polity_type,polity_start_year,polity_start_label,polity_end_year,polity_end_label,polity_date_raw,polity_date_precision,historical_geography_raw,modern_admin_units_raw,capital_historical,capital_modern,ruling_family_or_clan,ethnicity_or_group,founder,last_ruler,destroyed_by_or_successor,polity_source_titles,polity_source_urls,polity_source_raw,confidence_score,confidence_note,calendar_system_note,ruler_name,ruler_title,ruler_temple_name,ruler_posthumous_name,ruler_personal_name,ruler_reign_start_year,ruler_reign_start_label,ruler_reign_end_year,ruler_reign_end_label,ruler_reign_raw,ruler_reign_precision,era_names,ruler_source_title,ruler_source_url,ruler_source_section,ruler_confidence_score,ruler_confidence_note
11,polity_metadata,,,周,周代诸侯国,光國,,诸侯国/古国,,,,,？－前7世紀,,,河南省潢川县、光山县,,,己姓,,,,黃國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:光國; 今地:河南省潢川县、光山县; 起迄年:？－前7世紀; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
12,polity_metadata,,,周,周代诸侯国,共國,,诸侯国/古国,,,,,,,,河南省輝縣西北，（一說甘肅省涇川縣）,,,姬姓,,,,衞國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:共國; 今地:河南省輝縣西北，（一說甘肅省涇川縣）; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
13,polity_metadata,,,周,周代诸侯国,冀國,,诸侯国/古国,,,-1046,前1046年,前1046年－？,partial,,山西省河津市舊冀亭,,,祁姓冀氏,,,,晉國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:冀國; 今地:山西省河津市舊冀亭; 起迄年:前1046年－？; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
14,polity_metadata,,,周,周代诸侯国,凡國,,诸侯国/古国,,,-716,前716年,？－前716年,partial,,河南省輝縣西南,,,姬姓,,,,北戎,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:凡國; 今地:河南省輝縣西南; 起迄年:？－前716年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
15,polity_metadata,,,周,周代诸侯国,南燕國,,诸侯国/古国,,,,,商代－？,,,河南省延津縣東北,,,姞姓燕氏,,,,鄭國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:南燕國; 今地:河南省延津縣東北; 起迄年:商代－？; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
16,polity_metadata,,,周,周代诸侯国,南胡國,,诸侯国/古国,,,-496,前496年,？－前496年,partial,,安徽省阜陽市,,,媯姓胡氏,,,,楚國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:南胡國; 今地:安徽省阜陽市; 起迄年:？－前496年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
17,polity_metadata,,,周,周代诸侯国,南芮国,,诸侯国/古国,,,-806,前806年,前806年－?,partial,,陕西省大荔县朝邑镇,,,姬姓芮氏,,,,秦国,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:南芮国; 今地:陕西省大荔县朝邑镇; 起迄年:前806年－?; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
18,polity_metadata,,,周,周代诸侯国,卢国,卢国（盧戎國）,诸侯国/古国,,,-690,前690年,？－前690年,partial,,湖北省襄阳市,,,妫姓卢氏,,,,楚國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:卢国（盧戎國）; 今地:湖北省襄阳市; 起迄年:？－前690年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
19,polity_metadata,,,周,周代诸侯国,向國,,诸侯国/古国,,,-721,前721年,？－前721年,partial,,山東省莒縣西南,,,姜姓向氏,,,,莒國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:向國; 今地:山東省莒縣西南; 起迄年:？－前721年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
20,polity_metadata,,,周,周代诸侯国,唐國,,诸侯国/古国,,,-505,前505年,？－前505年,partial,,湖北省隨縣、棗陽市一帶,,,祁姓唐氏,,,,楚國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:唐國; 今地:湖北省隨縣、棗陽市一帶; 起迄年:？－前505年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
21,polity_metadata,,,周,周代诸侯国,單國,,诸侯国/古国,,,,,周文王时期-春秋时期,,,原在陕西省眉县，后随周王室东迁至河南省孟津县东南 | 河南省濟源市東南,,,姬姓單氏,,,,周朝,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:單國; 今地:原在陕西省眉县，后随周王室东迁至河南省孟津县东南; 起迄年:周文王时期-春秋时期; 出處: || 國名:單國; 今地:河南省濟源市東南; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
22,polity_metadata,,,周,周代诸侯国,嗇咎如,,诸侯国/古国,,,-588,前588年,？－前588年,partial,,,,,媿姓,,,,晉國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:嗇咎如; 今地:; 起迄年:？－前588年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
23,polity_metadata,,,周,周代诸侯国,夔國,夔國（隗国，歸國）,诸侯国/古国,,,-634,前634年,？－前634年,partial,,湖北省秭歸縣,,,羋姓熊氏,,,,楚國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:夔國（隗国，歸國）; 今地:湖北省秭歸縣; 起迄年:？－前634年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
24,polity_metadata,,,周,周代诸侯国,大骆国,,诸侯国/古国,,,,,,,,,,,嬴姓赵氏,,,,西戎,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:大骆国; 今地:; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
25,polity_metadata,,,周,周代诸侯国,夨国,,诸侯国/古国,,,,,商末周初－?,,,陕西省宝鸡市、陇县一带,,,姬姓或姜姓,,,,,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:夨国; 今地:陕西省宝鸡市、陇县一带; 起迄年:商末周初－?; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
26,polity_metadata,,,周,周代诸侯国,奄国,,诸侯国/古国,,,,,春秋早期－？,,,江苏省常州市武进区,,,,,,,吳國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:奄国; 今地:江苏省常州市武进区; 起迄年:春秋早期－？; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
27,polity_metadata,,,周,周代诸侯国,姒國,,诸侯国/古国,,,,,姬姓,,,山西汾河沿岸,,,,,,,晉國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:姒國; 今地:山西汾河沿岸; 起迄年:姬姓; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
28,polity_metadata,,,周,周代诸侯国,孤竹國,,诸侯国/古国,,,-664,前664年,商代初期－前664年,partial,,遼宁省朝陽市西南,,,子姓墨胎氏,,,,燕國、齊國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:孤竹國; 今地:遼宁省朝陽市西南; 起迄年:商代初期－前664年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
29,polity_metadata,,,周,周代诸侯国,安陵國,,诸侯国/古国,,,,,,,,河南省鄢陵县西北,,,姬姓,,,,秦國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:安陵國; 今地:河南省鄢陵县西北; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
30,polity_metadata,,,周,周代诸侯国,宗國,,诸侯国/古国,,,,,,,,安徽省舒城縣、廬江縣一帶,,,偃姓宗氏,,,,楚國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:宗國; 今地:安徽省舒城縣、廬江縣一帶; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
31,polity_metadata,,,周,周代诸侯国,密國,,诸侯国/古国,,,,,,,,河南省新密市,,,姬姓,,,,鄭國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:密國; 今地:河南省新密市; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
32,polity_metadata,,,周,周代诸侯国,密须国,,诸侯国/古国,,,,,约前21世纪－约前10世纪,,,陕西省灵台县治西50华里之百里镇,,,姞姓,,,,周朝,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:密须国; 今地:陕西省灵台县治西50华里之百里镇; 起迄年:约前21世纪－约前10世纪; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
33,polity_metadata,,,周,周代诸侯国,小虢國,,诸侯国/古国,,,-687,前687年,春秋初期－前687年,partial,,陝西省寶雞市東,,,姬姓虢（郭）氏,,,,秦國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:小虢國; 今地:陝西省寶雞市東; 起迄年:春秋初期－前687年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
34,polity_metadata,,,周,周代诸侯国,山戎,,诸侯国/古国,,,,,,,,,,,,,,,齐國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:山戎; 今地:; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
35,polity_metadata,,,周,周代诸侯国,岑国,,诸侯国/古国,,,,,商末周初－?,,,陕西省韩城市,,,姬姓岑氏,,,,晋国,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:岑国; 今地:陕西省韩城市; 起迄年:商末周初－?; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
36,polity_metadata,,,周,周代诸侯国,崇國,,诸侯国/古国,,,,,,,,陝西省戶縣東,,,崇氏,,,,,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:崇國; 今地:陝西省戶縣東; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
37,polity_metadata,,,周,周代诸侯国,州來國,,诸侯国/古国,,,,,,,,安徽省鳳台縣,,,,,,,楚國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:州來國; 今地:安徽省鳳台縣; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
38,polity_metadata,,,周,周代诸侯国,州國,州國（西州國）,诸侯国/古国,,,,,,,,湖北省監利市東州陵城,,,偃姓,,,,楚國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:州國（西州國）; 今地:湖北省監利市東州陵城; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
39,polity_metadata,,,周,周代诸侯国,巢國,,诸侯国/古国,,,-518,前518年,？－前518年,partial,,安徽省巢湖市,,,偃姓巢氏,,,,吳國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:巢國; 今地:安徽省巢湖市; 起迄年:？－前518年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
40,polity_metadata,,,周,周代诸侯国,庸国,庸国（鄘國）,诸侯国/古国,,,-611,前611年,？－前611年,partial,,湖北省竹山縣上庸胡城,,,容成氏,,,,楚國、秦國、巴國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:庸国（鄘國）; 今地:湖北省竹山縣上庸胡城; 起迄年:？－前611年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
41,polity_metadata,,,周,周代诸侯国,廩國,,诸侯国/古国,,,,,,,,,,,,,,,楚國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:廩國; 今地:; 起迄年:; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
42,polity_metadata,,,周,周代诸侯国,廬國,,诸侯国/古国,,,-1046,前1046年,前1046年－？,partial,,安徽省合肥市,,,,,,,楚国,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:廬國; 今地:安徽省合肥市; 起迄年:前1046年－？; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
43,polity_metadata,,,周,周代诸侯国,弦國,,诸侯国/古国,,,-655,前655年,？－前655年,partial,,河南省光山縣、潢川縣界,,,隗姓 一說姬姓,,,,楚國,周代诸侯国列表 - 维基百科,https://zh.wikipedia.org/wiki/%E5%91%A8%E4%BB%A3%E8%AB%B8%E4%BE%AF%E5%9C%8B%E5%88%97%E8%A1%A8,國名:弦國; 今地:河南省光山縣、潢川縣界; 起迄年:？－前655年; 出處:,55,周代诸侯国列表条目本身标注需要补充来源；已保留原始出处字段供复核,BCE years are negative integers; there is no year 0; ranges are expanded inclusively when start and end years are parseable.,,,,,,,,,,,,,,,,,
