polity_id,macro_period,dynasty_name,polity_name,polity_aliases,polity_display_name,polity_name_disambiguation,polity_name_review_status,polity_name_risk_flags,polity_type,polity_start_year,polity_start_label,polity_end_year,polity_end_label,polity_date_raw,polity_date_precision,historical_geography_raw,modern_admin_units_raw,capital_historical,capital_modern,ruling_family_or_clan,ethnicity_or_group,founder,last_ruler,destroyed_by_or_successor,polity_source_titles,polity_source_urls,polity_source_raw,confidence_score,confidence_note,calendar_system_note,v02_row_count,v02_actual_min_year,v02_actual_max_year,v02_actual_years,merged_from_v02_contexts
polity_ind_0011,吠陀与列国时期,十六大国,迦尸,Kashi,迦尸,,verified,,mahajanapada,-600,公元前600年,-490,前490年,前600年－前490年,approx,Varanasi region,IN-UP,Varanasi,Varanasi,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,[系统修正：约前490年被拘萨罗和摩揭陀瓜分],66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0012,吠陀与列国时期,十六大国,拘萨罗,Kosala,拘萨罗,,verified,,mahajanapada,-600,公元前600年,-460,前460年,前600年－前460年,approx,Awadh and eastern Uttar Pradesh,IN-UP,Ayodhya,Ayodhya,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,[系统修正：约前460年被摩揭陀国王阿阇世吞并],66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0013,吠陀与列国时期,十六大国,俱卢,Kuru,俱卢,,verified,,mahajanapada,-600,公元前600年,-300,公元前300年,公元前600年-公元前300年,approx,Delhi-Haryana-western Uttar Pradesh,IN-DL|IN-HR|IN-UP,Indraprastha,Indraprastha,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0014,吠陀与列国时期,十六大国,摩揭陀列国,Magadha,摩揭陀列国,,verified,,mahajanapada,-600,公元前600年,-345,公元前345年,公元前600年-公元前345年,approx,South Bihar,IN-BR,Rajgir,Rajgir,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0015,吠陀与列国时期,十六大国,末罗,Malla,末罗,,verified,,mahajanapada,-600,公元前600年,-300,公元前300年,公元前600年-公元前300年,approx,Eastern Uttar Pradesh and Bihar,IN-UP|IN-BR,Kushinagar,Kushinagar,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0016,吠陀与列国时期,十六大国,摩蹉,Matsya,摩蹉,,verified,,mahajanapada,-600,公元前600年,-300,公元前300年,公元前600年-公元前300年,approx,Jaipur-Alwar region,IN-RJ,Viratanagara,Viratanagara,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0017,吠陀与列国时期,十六大国,般阇罗,Panchala,般阇罗,,verified,,mahajanapada,-600,公元前600年,-300,公元前300年,公元前600年-公元前300年,approx,Ganga-Yamuna doab,IN-UP,,,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0018,吠陀与列国时期,十六大国,苏罗娑那,Surasena,苏罗娑那,,verified,,mahajanapada,-600,公元前600年,-300,公元前300年,公元前600年-公元前300年,approx,Mathura region,IN-UP,Mathura,Mathura,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0019,吠陀与列国时期,十六大国,跋耆联盟,Vajji|Vrijji|Licchavi confederacy,跋耆联盟,,verified,,mahajanapada,-600,公元前600年,-468,公元前468年,公元前600年-公元前468年,approx,North Bihar republican confederacy,IN-BR,Vaishali,Vaishali,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0020,吠陀与列国时期,十六大国,婆蹉,Vatsa,婆蹉,,verified,,mahajanapada,-600,公元前600年,-300,公元前300年,公元前600年-公元前300年,approx,Kaushambi/Allahabad region,IN-UP,Kaushambi,Kaushambi,,,,,,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,66,Mahajanapada dates are conventional approximations.,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0021,摩揭陀王国,Haryanka dynasty,诃黎王朝/哈里扬卡,Haryanka dynasty,诃黎王朝/哈里扬卡,,verified,,dynastic_kingdom,-544,公元前544年,-413,公元前413年,公元前544年-公元前413年,year,South Bihar Magadha core,IN-BR,Rajgir,Rajgir,Haryanka,,Bimbisara,Nagadasaka,Shishunaga,"NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,70,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0022,摩揭陀王国,Shishunaga dynasty,希舒那伽王朝,Shishunaga dynasty,希舒那伽王朝,,verified,,dynastic_kingdom,-413,公元前413年,-345,公元前345年,公元前413年-公元前345年,year,Magadha and northern India,IN-BR|IN-UP,Pataliputra,Pataliputra,Shishunaga,,Shishunaga,Mahanandin,Nanda dynasty,"NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,70,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0023,摩揭陀王国,Nanda dynasty,难陀王朝,Nanda dynasty,难陀王朝,,verified,,dynastic_kingdom,-345,公元前345年,-321,公元前321年,公元前345年-公元前321年,year,Magadha-centered north Indian empire,IN-BR|IN-UP|IN-MP,Pataliputra,Pataliputra,Nanda,,Mahapadma Nanda,Dhana Nanda,Mauryan Empire,"NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Magadha",https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Magadha,,73,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0024,孔雀王朝,Mauryan Empire,孔雀帝国,Mauryan Empire,孔雀帝国,,verified,,imperial_state,-321,公元前321年,-185,公元前185年,公元前321年-公元前185年,year,Most of the subcontinent except far south at maximum extent,India|Pakistan|Bangladesh|Afghanistan parts|Nepal parts,Pataliputra,Pataliputra,Maurya,,Chandragupta Maurya,Brihadratha,Shunga dynasty,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Mauryan Empire|Encyclopaedia Britannica: Ashoka",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/Mauryan-Empire|https://www.britannica.com/biography/Ashoka,,82,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0025,后孔雀时期,Shunga dynasty,巽伽王朝,Shunga dynasty,巽伽王朝,,verified,,dynastic_kingdom,-185,公元前185年,-73,公元前73年,公元前185年-公元前73年,year,Middle Ganga basin and central India,IN-BR|IN-UP|IN-MP,Pataliputra,Pataliputra,Shunga,,Pushyamitra Shunga,Devabhuti,Kanva dynasty,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: India",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/India,,68,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0026,后孔雀时期,Kanva dynasty,甘婆王朝,Kanva dynasty,甘婆王朝,,verified,,dynastic_kingdom,-73,公元前73年,-28,公元前28年,公元前73年-公元前28年,year,Magadha and middle Ganga basin,IN-BR|IN-UP,Pataliputra,Pataliputra,Kanva,,Vasudeva Kanva,Susharman,Satavahana and regional powers,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: India",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/India,,64,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0027,后孔雀与早期古典时期,Satavahana dynasty,百乘王朝,Satavahana dynasty,百乘王朝,,verified,,dynastic_kingdom,-100,前100年,220,220年,前100年－220年,year,Deccan plateau and Andhra region,IN-MH|IN-TG|IN-AP|IN-MP,Pratishthana,Pratishthana,Satavahana,,Simuka,,Western Kshatrapas and regional dynasties,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: India",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/India,[系统修正：剔除《往世书》长年代学争议，采用现代考古共识（前1世纪晚期）],72,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0028,后孔雀与早期古典时期,Indo-Greek Kingdom,印度-希腊王国,Indo-Greek Kingdom,印度-希腊王国,,verified,,regional_kingdom,-180,公元前180年,10,10年,公元前180年-10年,year,Northwestern South Asia and Bactrian frontier,PK|AFG|IN-PB,Taxila,Taxila,Yavana/Greek houses,,Demetrius I,Strato II,Indo-Scythian powers,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,,65,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0029,后孔雀与早期古典时期,Indo-Scythians|Saka,印度-塞种政权,Indo-Scythians|Saka,印度-塞种政权,,verified,,regional_kingdom,-100,公元前100年,395,395年,公元前100年-395年,year,Northwestern and western India,PK|IN-GJ|IN-MP,,,Saka,,,,Western Kshatrapas/Kushan/Gupta,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,,62,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0030,后孔雀与早期古典时期,Indo-Parthian Kingdom,印度-帕提亚王国,Indo-Parthian Kingdom,印度-帕提亚王国,,verified,,regional_kingdom,19,19年,226,226年,19年-226年,year,Gandhara and northwest,PK|AFG,Taxila,Taxila,Gondopharid,,Gondophares,,Kushan and Sasanian-related powers,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,,62,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0031,早期古典时期,Kushan Empire,贵霜帝国,Kushan Empire,贵霜帝国,,verified,,imperial_state,30,30年,375,375年,30年-375年,year,"Bactria, Gandhara, Punjab and north India at maximum extent",AFG|PK|IN-UP|IN-BR,Peshawar,Peshawar,Kushan/Yuezhi,,Kujula Kadphises,,Kidarites/Gupta/regional powers,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: Kushan dynasty,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/topic/Kushan-dynasty,,74,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0032,早期古典时期,Western Kshatrapas,西部总督/西刹陀罗波,Western Kshatrapas,西部总督/西刹陀罗波,,verified,,regional_kingdom,35,35年,405,405年,35年-405年,year,Western India and Malwa,IN-GJ|IN-MP|IN-MH,Ujjain,Ujjain,Saka Kshatrapa,,,Rudrasimha III,Gupta expansion,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,,68,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0033,古典时期,Gupta Empire,笈多帝国,Gupta Empire,笈多帝国,,verified,,imperial_state,320,320年,550,550年,320年-550年,year,North and central India,IN-UP|IN-BR|IN-MP|IN-WB|IN-GJ,Pataliputra,Pataliputra,Gupta,,Chandragupta I,,post-Gupta regional powers,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: Gupta dynasty",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/topic/Gupta-dynasty,,82,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0034,古典时期,Vakataka dynasty,伐迦陀迦王朝,Vakataka dynasty,伐迦陀迦王朝,,verified,,regional_kingdom,250,250年,500,500年,250年-500年,year,Deccan and central India,IN-MH|IN-MP|IN-TG,,,Vakataka,,Vindhyashakti,,Chalukya and regional powers,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: India",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/India,,67,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0035,后笈多时期,Vardhana dynasty,戒日王朝/伐弹那,Vardhana dynasty,戒日王朝/伐弹那,,verified,,regional_empire,606,606年,647,647年,606年-647年,year,Upper Ganga and north India,IN-HR|IN-UP|IN-BR,Kannauj,Kannauj,Pushyabhuti/Vardhana,,Harsha,Harsha,regional kingdoms,"Digital South Asia Library: A Historical Atlas of South Asia|NCERT Themes in Indian History, Part I|Encyclopaedia Britannica: India",https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://ncert.nic.in/textbook/pdf/lehs101.pdf|https://www.britannica.com/place/India,,72,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0036,南印度古典时期,Pallava dynasty,帕拉瓦王朝,Pallava dynasty,帕拉瓦王朝,,verified,,regional_kingdom,275,275年,897,897年,275年-897年,year,Northern Tamil region and Andhra coast,IN-TN|IN-AP,Kanchipuram,Kanchipuram,Pallava,,,Aparajita,Chola expansion,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,,69,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0037,南印度古典时期,Chalukyas of Badami,遮娄其王朝（巴达米）,Chalukyas of Badami,遮娄其王朝（巴达米）,,verified,,regional_kingdom,543,543年,753,753年,543年-753年,year,Deccan plateau,IN-KA|IN-MH|IN-TG,Badami,Badami,Chalukya,,Pulakeshin I,Kirtivarman II,Rashtrakuta,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,,70,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0038,南印度古典时期,Eastern Chalukyas,东遮娄其王朝,Eastern Chalukyas,东遮娄其王朝,,verified,,regional_kingdom,624,624年,1189,1189年,624年-1189年,year,Vengi/Andhra region,IN-AP,Vengi,Vengi,Chalukya,,Kubja Vishnuvardhana,,Chola and Kakatiya powers,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,,66,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0039,早期中世纪三强,Rashtrakuta dynasty,罗湿陀罗拘陀王朝,Rashtrakuta dynasty,罗湿陀罗拘陀王朝,,verified,,imperial_state,753,753年,982,982年,753年-982年,year,Deccan and parts of north/south India,IN-KA|IN-MH|IN-MP|IN-GJ,Manyakheta,Manyakheta,Rashtrakuta,,Dantidurga,Indra IV,Western Chalukyas,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,,72,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0040,早期中世纪三强,Pala Empire,波罗王朝,Pala Empire,波罗王朝,,verified,,imperial_state,750,750年,1161,1161年,750年-1161年,year,Bengal and Bihar,IN-WB|IN-BR|BD,,,Pala,,Gopala,,Sena dynasty,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,,72,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
polity_ind_0041,早期中世纪三强,Gurjara-Pratihara dynasty,瞿折罗-普腊蒂哈腊王朝,Gurjara-Pratihara dynasty,瞿折罗-普腊蒂哈腊王朝,,verified,,imperial_state,730,730年,1036,1036年,730年-1036年,year,"Rajasthan, Gujarat and north India",IN-RJ|IN-GJ|IN-UP|IN-MP,Kannauj,Kannauj,Pratihara,,Nagabhata I,,Rajput and regional powers,Digital South Asia Library: A Historical Atlas of South Asia|Encyclopaedia Britannica: India,https://dsal.uchicago.edu/reference/schwartzberg/bootstrap_index.html|https://www.britannica.com/place/India,,70,,BCE years are negative; no year 0. Dates before early historic inscriptions are approximate.,,,,,
