source_id,topic,source_title,source_url,source_type,credibility_tier,covers_fields,notes
source_ind_0017,diplomatic_history,"Office of the Historian: South Asia Crisis, 1971",https://history.state.gov/historicaldocuments/frus1969-76v11/d1,official_archive,A,1971_war|bangladesh|diplomacy,US official diplomatic source for the 1971 crisis.
source_ind_0018,primary_law,The Indian Independence Act 1947,https://www.legislation.gov.uk/ukpga/1947/30/pdfs/ukpga_19470030_en.pdf,official_law,A,partition|dominion_status,Primary statute for partition and the two dominions.
source_ind_0019,primary_law,Legislative Department of India: Constitution of India,https://legislative.gov.in/constitution-of-india/,official_law,A,republic|constitution|post_1947,Official Constitution text portal.
source_ind_0020,chronology,Rulers.org: Indian states before 1947 A-J,https://www.rulers.org/indstat1.html,chronology_database,C,princely_states|ruler_dates,Secondary chronology database; use as a structured index and corroborate important states.
source_ind_0021,chronology,Rulers.org: Indian states before 1947 K-W,https://www.rulers.org/indstat2.html,chronology_database,C,princely_states|ruler_dates,Secondary chronology database; use as a structured index and corroborate important states.
source_ind_0022,archaeology,Archaeological Survey of India,https://asi.nic.in/,official_archaeology,A,archaeological_sites|heritage_context,Official Indian archaeology body; used for site-level cross-checking.
source_ind_0023,heritage,UNESCO World Heritage Centre: Archaeological Site of Nalanda Mahavihara,https://whc.unesco.org/en/list/1502,heritage_record,A,strategic_locations|education_sites,UNESCO record for Nalanda.
source_ind_0024,heritage,"UNESCO World Heritage Centre: Qutb Minar and its Monuments, Delhi",https://whc.unesco.org/en/list/233,heritage_record,A,strategic_locations|delhi_sultanate,UNESCO record for Delhi Sultanate monumental geography.
source_ind_0025,heritage,UNESCO World Heritage Centre: Group of Monuments at Hampi,https://whc.unesco.org/en/list/241,heritage_record,A,strategic_locations|vijayanagara,UNESCO record for Vijayanagara/Hampi.
source_ind_0026,heritage,UNESCO World Heritage Centre: Fatehpur Sikri,https://whc.unesco.org/en/list/255,heritage_record,A,strategic_locations|mughal_capital,UNESCO record for Akbar's capital.
source_ind_0027,heritage,UNESCO World Heritage Centre: Taj Mahal,https://whc.unesco.org/en/list/252,heritage_record,A,strategic_locations|mughal_context,UNESCO record for Agra Mughal monumental geography.
source_ind_0028,heritage,UNESCO World Heritage Centre: Red Fort Complex,https://whc.unesco.org/en/list/231,heritage_record,A,strategic_locations|mughal_delhi|modern_india,UNESCO record for Red Fort.
source_ind_0029,heritage,UNESCO World Heritage Centre: Mahabodhi Temple Complex at Bodh Gaya,https://whc.unesco.org/en/list/1056,heritage_record,A,strategic_locations|buddhist_history,UNESCO record for Bodh Gaya.
source_ind_0030,overview,Encyclopaedia Britannica: Indus civilization,https://www.britannica.com/topic/Indus-civilization,encyclopedia,B,harappan_chronology|sites,Secondary reference for Indus civilization.
source_ind_0031,overview,Encyclopaedia Britannica: Vedic religion,https://www.britannica.com/topic/Vedic-religion,encyclopedia,B,vedic_period|context,Context for Vedic cultural chronology.
source_ind_0032,overview,Encyclopaedia Britannica: Magadha,https://www.britannica.com/place/Magadha,encyclopedia,B,mahajanapada|magadha,Secondary reference for Magadha.
source_ind_0033,overview,Encyclopaedia Britannica: Ashoka,https://www.britannica.com/biography/Ashoka,encyclopedia,B,mauryan_rulers|events,Secondary reference for Ashoka.
source_ind_0034,overview,Encyclopaedia Britannica: Kushan dynasty,https://www.britannica.com/topic/Kushan-dynasty,encyclopedia,B,kushan|rulers,Secondary reference for Kushan chronology.
source_ind_0035,overview,Encyclopaedia Britannica: Chola dynasty,https://www.britannica.com/topic/Chola-dynasty,encyclopedia,B,south_india|chola,Secondary reference for Chola chronology.
source_ind_0036,overview,Encyclopaedia Britannica: Vijayanagar,https://www.britannica.com/place/Vijayanagar-empire,encyclopedia,B,vijayanagara|events,Secondary reference for Vijayanagara.
source_ind_0037,overview,Encyclopaedia Britannica: Maratha confederacy,https://www.britannica.com/topic/Maratha-confederacy,encyclopedia,B,maratha|events,Secondary reference for Maratha history.
source_ind_0038,overview,Encyclopaedia Britannica: Sikh Wars,https://www.britannica.com/event/Sikh-Wars,encyclopedia,B,sikh_empire|colonial_wars,Secondary reference for Sikh-British conflict.
source_ind_0039,overview,Encyclopaedia Britannica: Indian Mutiny,https://www.britannica.com/event/Indian-Mutiny,encyclopedia,B,1857|colonial_events,Secondary reference for the 1857 uprising.
source_ind_0040,overview,Encyclopaedia Britannica: Indian National Congress,https://www.britannica.com/topic/Indian-National-Congress,encyclopedia,B,national_movement|events,Secondary reference for the nationalist movement.
source_ind_0041,overview,Encyclopaedia Britannica: Partition of India,https://www.britannica.com/event/Partition-of-India,encyclopedia,B,partition|migration|violence,Secondary reference for partition.
source_ind_0042,overview,Encyclopaedia Britannica: Bangladesh Liberation War,https://www.britannica.com/event/Bangladesh-Liberation-War,encyclopedia,B,1971_war|bangladesh,Secondary reference for Bangladesh Liberation War.
source_ind_0043,overview,Encyclopaedia Britannica: Sikkim,https://www.britannica.com/place/Sikkim,encyclopedia,B,sikkim|post_1947_integration,Secondary reference for Sikkim's incorporation.
source_ind_0044,overview,Encyclopaedia Britannica: Goa,https://www.britannica.com/place/Goa-state-India,encyclopedia,B,goa|portuguese_india,Secondary reference for Goa.
source_ind_0045,overview,Encyclopaedia Britannica: Kashmir region,https://www.britannica.com/place/Kashmir-region-Indian-subcontinent,encyclopedia,B,kashmir|disputed_territory,Secondary reference for Kashmir.
source_ind_0046,overview,Encyclopaedia Britannica: East India Company,https://www.britannica.com/topic/East-India-Company,encyclopedia,B,company_rule|colonial_events,Secondary reference for Company rule.
source_ind_0047,overview,Encyclopaedia Britannica: Mysore Wars,https://www.britannica.com/event/Mysore-Wars,encyclopedia,B,mysore|colonial_wars,Secondary reference for Mysore Wars.
source_ind_0048,official_law,"Constitution (Thirty-sixth Amendment) Act, 1975",https://www.indiacode.nic.in/handle/123456789/1537,official_law,A,sikkim|post_1947_integration,Official legal reference for Sikkim's statehood.
source_ind_0049,official_law,"Goa, Daman and Diu Reorganisation Act, 1987",https://www.indiacode.nic.in/handle/123456789/1904,official_law,A,goa|statehood,Official legal reference for Goa statehood.
source_ind_0050,official_law,"Punjab Reorganisation Act, 1966",https://www.indiacode.nic.in/handle/123456789/1533,official_law,A,post_1947_state_reorganization,Official legal reference for Punjab/Haryana reorganization.
source_ind_0051,epic_text,Encyclopaedia Britannica: Mahabharata,https://www.britannica.com/topic/Mahabharata,encyclopedia,B,mythological_timeline|epic_tradition,Secondary reference for Mahabharata as epic tradition and debated historicity.
source_ind_0052,epic_text,Encyclopaedia Britannica: Ramayana,https://www.britannica.com/topic/Ramayana-Indian-epic,encyclopedia,B,mythological_timeline|epic_tradition,Secondary reference for Ramayana composition and cultural influence.
source_ind_0053,regional_chronicle,Banglapedia: Rajmala,https://en.banglapedia.org/index.php/Rajmala,encyclopedia,B,mythological_timeline|tripura|royal_chronicle,Reference for Rajmala compilation and lack of evidence for early Tripura king lists.
source_ind_0054,regional_history,Banglapedia: Tripura,https://en.banglapedia.org/index.php/Tripura,encyclopedia,B,tripura|manikya|political_context,Reference for Tripura and Manikya princely-state context.
source_ind_0055,ancient_dynasty,Encyclopaedia Britannica: Satavahana dynasty,https://www.britannica.com/topic/Satavahana-dynasty,encyclopedia,B,satavahana|puranic_chronology,Secondary reference distinguishing Puranic dating from late first century BCE ascendancy.
source_ind_0056,regional_history,District Chamba Government: History,https://hpchamba.nic.in/history/,official_history,A,chamba|dynastic_origin_legend,Official district history noting Maru as legendary hero and Kalpagrama as mythical place.
source_ind_0057,regional_history,Encyclopaedia Britannica: Chamba,https://www.britannica.com/place/Chamba,encyclopedia,B,chamba|princely_state,Secondary reference for Chamba state founded in the sixth century CE.
source_ind_0058,regional_history,Encyclopaedia Britannica: Rajasthan History,https://www.britannica.com/place/Rajasthan/History,encyclopedia,B,mewar|guhilla|rajput_context,Secondary reference for Rajasthan history and Guhila control around Mewar.
source_ind_0059,regional_history,Treccani: Mewar,https://www.treccani.it/enciclopedia/mewar_%28Dizionario-di-Storia%29/,encyclopedia,B,mewar|bappa_rawal|chittor,Secondary reference using 734 for Bappa Rawal founding Chitor-centered Mewar.
source_ind_0060,regional_history,Encyclopaedia Britannica: Guhilla,https://www.britannica.com/topic/Guhilla,encyclopedia,B,mewar|guhilla|rajput_context,Secondary reference linking the Guhilla Rajput dynasty to Mewar and Chitor.
